Unnamed: 0|sentence|cluster_label|clustering_method|target_word
0|The plant, one of the 10 biggest atomic power stations in the world, has been occupied by Russian forces since early in the war, which marked its 200th day on Sunday.|5|DPBGMM|plant
1|A landmark new study of plant life in one of the world’s driest places could yield new drought-resistant crops — if mining for electric vehicle batteries doesn't destroy the ecosystems first.|6|DPBGMM|plant
2|Thousands of tons of diesel leaked into waterways in a major accident at a power plant in Siberia.|8|DPBGMM|plant
3|The location, in the shadow of New York's dirtiest power plant, is a deliberate choice by the senator and his campaign.|8|DPBGMM|plant
4|More than 60 boxes of documents from an investigation into violations at Rocky Flats, a former nuclear weapons plant, have gone missing.|8|DPBGMM|plant
5|Kansas seized 350 pounds of leafy green plant material from a FedEx truck two years ago.|6|DPBGMM|plant
6|Nine employees were inside the AB Specialty Silicones plant when the explosion occurred overnight.|1|DPBGMM|plant
7|BMW CEO Harald Krueger said it is only considering a second plant in the U.S.|1|DPBGMM|plant
8|Authorities have shut down the plant but local residents remain concerned about potential explosions.|1|DPBGMM|plant
9|During Chad McIntosh's time as a Ford environmental exec, seeping chemicals contaminated groundwater near a company plant.|1|DPBGMM|plant
10|“Fidelito” was previously the head of Cuba’s national nuclear program, and spearheaded the development of a nuclear plant on the Caribbean’s largest island.|8|DPBGMM|plant
11|"The star said she believes she was accosted by a ""paid plant"" from Harvey Weinstein."|9|DPBGMM|plant
12|Construction on America’s largest wind power plant began last year in Oklahoma.|8|DPBGMM|plant
13|Our choice to follow a predominately meat diet or a predominately plant diet is not without consequence.|4|DPBGMM|plant
14|This morning a flooded chemical plant in Crosby, Texas, 20 miles from Houston, continues to burn, after explosions there|9|DPBGMM|plant
15|Earlier on Tuesday, the owner of the plant said the situation at its Crosby plant “has become serious.”|1|DPBGMM|plant
16|Earlier on Tuesday, the owner of the plant said the situation at its Crosby plant “has become serious.”|1|DPBGMM|plant
17|"The company says there likely will be ""additional incidents"" at the plant."|1|DPBGMM|plant
18|Taiwanese electronics giant Foxconn said in the past it would build a plant in the U.S.|1|DPBGMM|plant
19|I recently traveled to New Zealand to present my work and knowledge about the medical uses of the cannabis plant.|3|DPBGMM|plant
20|A coal-fired power plant.|5|DPBGMM|plant
21|The White House plans to scrap a rule on power plant emissions, kneecapping U.S. participation in the Paris climate accord.|8|DPBGMM|plant
22|Six years after the Fukushima nuclear power plant triple meltdown left Japan with a $235 billion clean-up bill, President|8|DPBGMM|plant
23|GM said it makes its Cruze sedan in the United States and that all of those sold in the United States are made in a plant in Lordstown, Ohio.|1|DPBGMM|plant
24|The town’s main employer is the hog plant.|9|DPBGMM|plant
