Unnamed: 0|sentence|cluster_label
0|The plant, one of the 10 biggest atomic power stations in the world, has been occupied by Russian forces since early in the war, which marked its 200th day on Sunday.|5
1|A landmark new study of plant life in one of the world’s driest places could yield new drought-resistant crops — if mining for electric vehicle batteries doesn't destroy the ecosystems first.|6
2|Thousands of tons of diesel leaked into waterways in a major accident at a power plant in Siberia.|8
3|The location, in the shadow of New York's dirtiest power plant, is a deliberate choice by the senator and his campaign.|8
4|More than 60 boxes of documents from an investigation into violations at Rocky Flats, a former nuclear weapons plant, have gone missing.|8
5|Kansas seized 350 pounds of leafy green plant material from a FedEx truck two years ago.|6
6|Nine employees were inside the AB Specialty Silicones plant when the explosion occurred overnight.|1
7|BMW CEO Harald Krueger said it is only considering a second plant in the U.S.|1
8|Authorities have shut down the plant but local residents remain concerned about potential explosions.|1
9|During Chad McIntosh's time as a Ford environmental exec, seeping chemicals contaminated groundwater near a company plant.|1
10|“Fidelito” was previously the head of Cuba’s national nuclear program, and spearheaded the development of a nuclear plant on the Caribbean’s largest island.|8
11|"The star said she believes she was accosted by a ""paid plant"" from Harvey Weinstein."|9
12|Construction on America’s largest wind power plant began last year in Oklahoma.|8
13|Our choice to follow a predominately meat diet or a predominately plant diet is not without consequence.|4
14|This morning a flooded chemical plant in Crosby, Texas, 20 miles from Houston, continues to burn, after explosions there|9
15|Earlier on Tuesday, the owner of the plant said the situation at its Crosby plant “has become serious.”|1
16|Earlier on Tuesday, the owner of the plant said the situation at its Crosby plant “has become serious.”|1
17|"The company says there likely will be ""additional incidents"" at the plant."|1
18|Taiwanese electronics giant Foxconn said in the past it would build a plant in the U.S.|1
19|I recently traveled to New Zealand to present my work and knowledge about the medical uses of the cannabis plant.|3
20|A coal-fired power plant.|5
21|The White House plans to scrap a rule on power plant emissions, kneecapping U.S. participation in the Paris climate accord.|8
22|Six years after the Fukushima nuclear power plant triple meltdown left Japan with a $235 billion clean-up bill, President|8
23|GM said it makes its Cruze sedan in the United States and that all of those sold in the United States are made in a plant in Lordstown, Ohio.|1
24|The town’s main employer is the hog plant.|9
25|President-elect Donald Trump has convinced air-conditioner-maker Carrier not to move an Indiana plant to Mexico.|1
26|Those who use and study the plant say an outright ban could do serious harm.|9
27|The company had never said it would close the Kentucky assembly plant.|1
28|Even as more states move to legalize the plant, America's young people are using less and less of it.|9
29|Tribal leaders in Oklahoma have vowed to plant nectar-producing plants for the butterflies whose numbers have dwindled.|2
30|But I've got a special packet of seeds to plant this week, and they've inspired me to be more attentive this year.|2
31|Fears of ISIS' nuclear ambitions have grown since a suspect linked to the November terrorist attacks in Paris was found with a surveillance video of a Belgian nuclear power plant official.|8
32|I met Larsen on her coffee break outside head office, across the street from Norway’s only coalfired power plant.|8
33|Radioactive water leaked into the groundwater at the upstate Indian Point nuclear power plant, officials said Saturday.|8
34|Now it's even more pathetic if you can't keep your desk plant alive.|9
35|ABUJA, Nigeria (AP) — A gas tanker truck ignited an inferno at a crowded industrial gas plant in Nigeria on Thursday, killing|9
36|Trib Total Media will cut 14 percent of its workforce, consolidate its largest daily newspapers, close a printing plant in|9
37|"An old Chinese proverb says, ""The best time to plant a tree is 20 years ago."|2
38|New limits would cut power plant emissions 32 percent by 2030.|8
39|Researchers have found evidence of plant cultivation at a 23,000-year-old site.|6
40|The announcement marks the 200th planned coal plant closure in the Sierra Club's Beyond Coal campaign.|8
41|For the record, chicory is this pretty flowering plant.|3
42|Emily surprised me with a new plant on my birthday.|6
43|Urbex and photographer Iain Bolton offer us a haunting glimpse into the town of Pripyat, the nuclear city established in February of 1970 to support a nearby power plant you might have heard of...|8
44|We decided to conduct an experiment where he would plant a very bold Hollywood-style kiss on me when he arrived home for dinner.|2
45|We are used to thinking of infrastructure as buildings, plant and machinery.|9
46|While the first harvest is entirely lost, the hope is that farmers can plant again before the rains stop altogether so that there is hope of having some food to harvest this year.|2
47|We've deprived countless patients from a helpful medicinal plant.|3
48|Worrying only leads to more worrying, so instead of allowing anxieties to plant themselves in my mind, I replaced them with more positive things.|2
49|Do you ever think about what the people are like at each step of the production: the cultivators of the fields, the owners of the land, the processing plant workers, the packaging designers, the marketing team, the distributors, the transporters, the wholesalers, the retailers, and ultimately you, the consumer?|9
50|As I type this now, my desk is fringed with a little Peruvian apple cactus, a spider plant, a milk cactus and a big, hardy jade plant.|6
51|As I type this now, my desk is fringed with a little Peruvian apple cactus, a spider plant, a milk cactus and a big, hardy jade plant.|6
52|She didn't study agriculture at her university, Georgia State, and until a few years ago, the only plant she may have envisioned herself cultivating was basil.|6
53|I really need to plant those, I thought.|2
54|It's time to plant a garden.|2
55|If you have one, maybe you could help others plant their own.|2
56|We manage family, work, friends, living spaces, school, exercise, cooking, coupon cutting, plant watering, voicemail listening, gas pumping and ALL of the other life things that we jam pack into each and every single day.|2
57|Study his hands as he'd loosen marigolds from plastic, plant and cover their roots with a swift hand.|2
58|Ironically, this is the first time I've toured this particular auto-assembly plant (which was first owned by General Motors; then by NUMMI, a joint venture between GM and Toyota; and now by Tesla), even though much of my understanding of innovation and sustainability comes from bird-dogging the evolution of this building over the years.|9
59|There's the renewal that's visible with each plant and tree, each blossom or new leaf.|0
60|There are gardens to plant, closets to clean and clothing to swap.|2
61|The recent decision by Intel to close its microprocessor assembly plant in Costa Rica has caused quite a storm over the past few weeks, in some ways souring the jubilant electoral victory of Luis Guillermo Solís of the PAC, which took place just 48 hours before the US tech giant's announcement|1
62|Like pruning a plant of dying branches, periodically pruning your business of troublesome clients is a necessity.|3
63|"The plant, fortunately, is ""zero-odor"" facility because all of the processing is contained."|9
64|"You see, it's their ""phytonutrients,"" or plant nutrients, that help us fight disease and stay stronger for longer."|4
65|The funny thing is, the rate-limiting issue makes the plant vs. animal nutrition debate irrelevant.|4
66|"An old proverb says, ""The best time to plant a tree is 20 years ago."|2
67|My passport is like the blood-sucking, voracious plant from Little Shop Of Horrors -- the more I feed it, the hungrier it gets.|3
68|"I've only been bitten by the ""plant bug"" recently in the last few years, but it's been really fun discovering and learning"|3
69|You won't be called on if you plant yourself in the front, and it's the best spot to see the teacher.|2
70|Great Blue Hole The Five Flower Lake in Jiuzhaigou Valley, China gets its beautiful colors from plant and mineral deposits|0
71|"A fire Sept. 24 at the Gabila's plant in Copiague, Long Island, damaged the machinery that makes the company's biggest seller -- ""The Original Coney Island Square Knish."""|1
72|Apples contain cell protective plant chemicals called flavonoids, which act as antioxidants by scavenging free radicals that are destructive to your genes and by supporting normal inflammation control.|4
73|Anemone Aspen Marigolds are a great fall-blooming plant, primarily in orange, gold and yellow -- probably why they were chosen|3
74|Find out what this plant is all about.|3
75|Not only is the American bittersweet a multifaceted plant in one's garden but it can also be part of your cut-flower arsenal.|3
76|Few things suggest the bounty of early fall more than the sight of fruit ripening, even if it's growing on a little plant|3
77|Vitamin A: Found in both animal and plant sources, it supports numerous functions of immune activity, particularly against|4
78|The word comes from oha, which is the highly revered taro plant|3
79|Let's take this opportunity Disney has created to excite our children with planes, with the magic and fun that is aviation and let's really plant the seeds of curiosity about airplanes with books after the movie ends.|2
80|The plant in Chandler employs about 11,000 people.|1
81|As these photos show, a garden can call for nothing more than a pot and a lush plant.|6
82|Whether you're itching to plant azaleas or zucchini―or something in between―you need to do a little handiwork before you|2
83|No soil to plant?|2
84|There is no such thing as a black henna plant.|3
85|The angel's trumpet plant looks beautiful with its petals delicately hanging from the stem.|6
86|Thug Kitchen's Roasted Strawberry Salad: basically plant nachos.|3
87|When your ideas align with your intention, it is your enthusiasm that makes dreams into reality, like a power plant for the soul.|7
88|Others can get involved by offering locations for me to plant in.|2
89|Here are some specific techniques to plant the seed of happiness.|2
90|The cacao plant's legacy is ancient and complex, while the business surrounding it is bitter, messy and even ruthless.|9
91|A hidden element in used coffee grounds could give them a use beyond plant food.|4
92|Allow us to introduce you to our other favorite part of the celery plant: celeriac.|3
93|Take care to plant well, to allow what you plant in your mind to germinate creatively, beautifully.|2
94|Take care to plant well, to allow what you plant in your mind to germinate creatively, beautifully.|2
95|Cranberries are one of the great superfoods rich in plant antioxidants and cancer-fighting phytochemicals called proanthocyanadins (PACs).|4
96|With such a beautiful plant, we welcome the snow.|3
97|When we decided on growing coffee, we set out to find a coffee plant that would meet our unique requirements.|3
98|Operations at the plant are likely to be halted for a long time and other makers of SAP resins are operating on a full-production|9
99|A: Plants that are native to the area in which you live actually require the least attention of anything you'll plant.|2
100|Yesterday morning, I ventured out to my garden to check on a squash plant that I had recently replanted.|6
101|A baseball plant, or Jatropha Berlandieri, is a spectacle of a species for sure.|3
102|It's rincospernum, a plant in the jasmine family that blooms all over the city.|6
103|Many of us don't have a large backyards to plant flowers and herbs, but that doesn't mean we have to go without our own garden|2
104|Are you looking for a maintenance free plant that can take the heat of the summer months?|9
105|In a small bed or pots, plant a few tomato plants, basil and oregano -- all of the garden ingredients that you need for a pizza.|2
106|Get your hands dirty and plant, trim, fertilize and reacquaint yourself with Mother Nature.|2
107|Here's another wolf in sheep's clothing for you, though this plant is hardly vicious at all: Flickr photo by Tropic~7 Through|3
108|The printing plant on the top floors of the building at Broadway and 4th street in New York City used|9
109|It may be sweet and calorie-free, but extracting that flavor from a plant requires serious chemical interventions.|3
110|Each part of the pea plant -- the tiny peas themselves, their shoots, even their pods (which can be simmered to make a broth) -- tastes of the sweet, sunny days of spring.|6
111|From plant 'Prozac' to a surprising way to soothe sunburns, here are a few unusual household hints.|3
112|He added that it is not necessary to purchase a sensor, which costs 100 euros ($125), for each plant because there is a multi|9
113|They plant and tend, fertilize and weed, harvest and process -- in short, do all it takes to produce a crop.|2
114|Photo by Leo Rosen Photo by Leo Rosen Since their flowers are so huge and heavy you will need to hold the plant up in some|3
115|"As the old Chinese proverb says, ""The best time to plant an oak tree was 20 years ago, and the next best time is today."""|2
116|A relationship is like a plant: It needs regular attention to stay healthy.|4
117|Does your plant have enough sunlight?|3
118|The shrimp plant, Justicia brandegeeana, makes me think of an early evening summer cocktail party with an exotic guest list|9
119|Why do we plant seeds, saplings and seedlings with hope in our hearts each spring?|2
120|We plant in order to harvest -- not just for the moment but to preserve and nurture the future.|2
121|For more about the pitcher plant, read our care tips.|3
122|Flickr photo by brianwc Nepenthes (or pitcher plant) is a genus of carnivorous, mostly vining, tropical plants native to|3
123|But the seeds of that plant|3
124|There are many occasions when a plant's leaf is more intriguing than its flower -- introducing the Copperleaf.|3
125|"Artist, educator and fashion designer Sasha Duerr uses just about anything to dye clothing: from kitchen waste to invasive ""weeds"" to the leaves, fruit or petals of nearly any tree or plant."|6
126|This was a perfect opportunity to do something creative, but instead Jim Findlay does nothing but reproduce a fetishized female sexuality... in a plant.|3
