sentence|word|attention|cluster_label|sentence_index|salience score
The plant, one of the 10 biggest atomic power stations in the world, has been occupied by Russian forces since early in the war, which marked its 200th day on Sunday.|[SEP]|0.14909598231315613|5|0|attention
The plant, one of the 10 biggest atomic power stations in the world, has been occupied by Russian forces since early in the war, which marked its 200th day on Sunday.|,|0.10227740556001663|5|0|attention
The plant, one of the 10 biggest atomic power stations in the world, has been occupied by Russian forces since early in the war, which marked its 200th day on Sunday.|,|0.09976344555616379|5|0|attention
The plant, one of the 10 biggest atomic power stations in the world, has been occupied by Russian forces since early in the war, which marked its 200th day on Sunday.|atomic|0.053302790969610214|5|0|attention
The plant, one of the 10 biggest atomic power stations in the world, has been occupied by Russian forces since early in the war, which marked its 200th day on Sunday.|power|0.03733054921030998|5|0|attention
A landmark new study of plant life in one of the world’s driest places could yield new drought-resistant crops — if mining for electric vehicle batteries doesn't destroy the ecosystems first.|ecosystems|0.17140169441699982|6|1|attention
A landmark new study of plant life in one of the world’s driest places could yield new drought-resistant crops — if mining for electric vehicle batteries doesn't destroy the ecosystems first.|[CLS]|0.0460728220641613|6|1|attention
A landmark new study of plant life in one of the world’s driest places could yield new drought-resistant crops — if mining for electric vehicle batteries doesn't destroy the ecosystems first.|mining|0.019120274111628532|6|1|attention
A landmark new study of plant life in one of the world’s driest places could yield new drought-resistant crops — if mining for electric vehicle batteries doesn't destroy the ecosystems first.|study|0.016862228512763977|6|1|attention
A landmark new study of plant life in one of the world’s driest places could yield new drought-resistant crops — if mining for electric vehicle batteries doesn't destroy the ecosystems first.|life|0.014279489405453205|6|1|attention
Thousands of tons of diesel leaked into waterways in a major accident at a power plant in Siberia.|[SEP]|0.4926528036594391|8|2|attention
Thousands of tons of diesel leaked into waterways in a major accident at a power plant in Siberia.|.|0.16236935555934906|8|2|attention
Thousands of tons of diesel leaked into waterways in a major accident at a power plant in Siberia.|power|0.05177873745560646|8|2|attention
Thousands of tons of diesel leaked into waterways in a major accident at a power plant in Siberia.|diesel|0.037275318056344986|8|2|attention
Thousands of tons of diesel leaked into waterways in a major accident at a power plant in Siberia.|[CLS]|0.03546322509646416|8|2|attention
The location, in the shadow of New York's dirtiest power plant, is a deliberate choice by the senator and his campaign.|a|0.14685678482055664|8|3|attention
The location, in the shadow of New York's dirtiest power plant, is a deliberate choice by the senator and his campaign.|power|0.04785999283194542|8|3|attention
The location, in the shadow of New York's dirtiest power plant, is a deliberate choice by the senator and his campaign.|,|0.04192085564136505|8|3|attention
The location, in the shadow of New York's dirtiest power plant, is a deliberate choice by the senator and his campaign.|is|0.03411819040775299|8|3|attention
The location, in the shadow of New York's dirtiest power plant, is a deliberate choice by the senator and his campaign.|shadow|0.025951752439141273|8|3|attention
More than 60 boxes of documents from an investigation into violations at Rocky Flats, a former nuclear weapons plant, have gone missing.|[SEP]|0.31204262375831604|8|4|attention
More than 60 boxes of documents from an investigation into violations at Rocky Flats, a former nuclear weapons plant, have gone missing.|.|0.16190046072006226|8|4|attention
More than 60 boxes of documents from an investigation into violations at Rocky Flats, a former nuclear weapons plant, have gone missing.|,|0.16077566146850586|8|4|attention
More than 60 boxes of documents from an investigation into violations at Rocky Flats, a former nuclear weapons plant, have gone missing.|nuclear|0.050782572478055954|8|4|attention
More than 60 boxes of documents from an investigation into violations at Rocky Flats, a former nuclear weapons plant, have gone missing.|at|0.03646900877356529|8|4|attention
Kansas seized 350 pounds of leafy green plant material from a FedEx truck two years ago.|[CLS]|0.05213814973831177|6|5|attention
Kansas seized 350 pounds of leafy green plant material from a FedEx truck two years ago.|material|0.04457426071166992|6|5|attention
Kansas seized 350 pounds of leafy green plant material from a FedEx truck two years ago.|Kansas|0.03195350244641304|6|5|attention
Kansas seized 350 pounds of leafy green plant material from a FedEx truck two years ago.|from|0.025367384776473045|6|5|attention
Kansas seized 350 pounds of leafy green plant material from a FedEx truck two years ago.|green|0.024875357747077942|6|5|attention
Nine employees were inside the AB Specialty Silicones plant when the explosion occurred overnight.|[SEP]|0.2657378613948822|1|6|attention
Nine employees were inside the AB Specialty Silicones plant when the explosion occurred overnight.|Silicones|0.11125701665878296|1|6|attention
Nine employees were inside the AB Specialty Silicones plant when the explosion occurred overnight.|AB|0.061945319175720215|1|6|attention
Nine employees were inside the AB Specialty Silicones plant when the explosion occurred overnight.|[CLS]|0.04325808957219124|1|6|attention
Nine employees were inside the AB Specialty Silicones plant when the explosion occurred overnight.|when|0.039896149188280106|1|6|attention
BMW CEO Harald Krueger said it is only considering a second plant in the U.S.|the|0.11502561718225479|1|7|attention
BMW CEO Harald Krueger said it is only considering a second plant in the U.S.|in|0.0640232190489769|1|7|attention
BMW CEO Harald Krueger said it is only considering a second plant in the U.S.|[CLS]|0.050534769892692566|1|7|attention
